caller	callee
LodePNG_Decoder_copy	LodePNG_InfoPng_copy
LodePNG_Decoder_copy	codo_free
LodePNG_Decoder_copy	codo_malloc
LodePNG_Decoder_decode	LodePNG_convert
LodePNG_Decoder_decode	codo_free
LodePNG_Decoder_decode	codo_malloc
LodePNG_Decoder_decode	decodeGeneric
LodePNG_Decoder_inspect	Crc32_update_crc.constprop.17
LodePNG_Decoder_inspect	LodePNG_InfoPng_cleanup
LodePNG_Decoder_inspect	checkColorValidity
LodePNG_Encoder_cleanup	codo_free
LodePNG_Encoder_copy	LodePNG_IText_add
LodePNG_Encoder_copy	LodePNG_InfoPng_cleanup
LodePNG_Encoder_copy	LodePNG_Text_add
LodePNG_Encoder_copy	codo_free
LodePNG_Encoder_copy	codo_malloc
LodePNG_Encoder_encode	LodePNG_add32bitInt
LodePNG_Encoder_encode	LodePNG_convert
LodePNG_Encoder_encode	LodePNG_create_chunk
LodePNG_Encoder_encode	LodeZlib_compress
LodePNG_Encoder_encode	__stack_chk_fail@plt
LodePNG_Encoder_encode	addChunk_PLTE.isra.11
LodePNG_Encoder_encode	addChunk_tEXt
LodePNG_Encoder_encode	addChunk_tRNS
LodePNG_Encoder_encode	addUnknownChunks
LodePNG_Encoder_encode	checkColorValidity
LodePNG_Encoder_encode	codo_free
LodePNG_Encoder_encode	codo_malloc
LodePNG_Encoder_encode	codo_realloc
LodePNG_Encoder_encode	preProcessScanlines
LodePNG_Encoder_encode	strlen@plt
LodePNG_Encoder_encode	ucvector_push_back
LodePNG_Encoder_encode	ucvector_resize.part.7
LodePNG_IText_add	codo_free
LodePNG_IText_add	codo_realloc
LodePNG_IText_add	strlen@plt
LodePNG_IText_cleanup	codo_free
LodePNG_IText_clear	codo_free
LodePNG_IText_copy	codo_free
LodePNG_IText_copy	codo_realloc
LodePNG_IText_copy	strlen@plt
LodePNG_InfoColor_addPalette	codo_realloc
LodePNG_InfoColor_cleanup	codo_free
LodePNG_InfoColor_clearPalette	codo_free
LodePNG_InfoColor_copy	codo_free
LodePNG_InfoColor_copy	codo_malloc
LodePNG_InfoPng_cleanup	codo_free
LodePNG_InfoPng_copy	LodePNG_IText_add
LodePNG_InfoPng_copy	LodePNG_InfoPng_cleanup
LodePNG_InfoPng_copy	codo_free
LodePNG_InfoPng_copy	codo_malloc
LodePNG_InfoPng_copy	codo_realloc
LodePNG_InfoPng_copy	strlen@plt
LodePNG_InfoPng_swap	__stack_chk_fail@plt
LodePNG_InfoRaw_cleanup	codo_free
LodePNG_InfoRaw_copy	codo_free
LodePNG_InfoRaw_copy	codo_malloc
LodePNG_Text_add	codo_free
LodePNG_Text_add	codo_realloc
LodePNG_Text_add	strlen@plt
LodePNG_Text_cleanup	codo_free
LodePNG_Text_clear	codo_free
LodePNG_Text_copy	codo_free
LodePNG_Text_copy	codo_realloc
LodePNG_Text_copy	strlen@plt
LodePNG_UnknownChunks_cleanup	codo_free
LodePNG_UnknownChunks_copy	codo_free
LodePNG_UnknownChunks_copy	codo_malloc
LodePNG_add32bitInt	codo_realloc
LodePNG_append_chunk	codo_realloc
LodePNG_chunk_type_equals	strlen@plt
LodePNG_create_chunk	LodePNG_chunk_generate_crc
LodePNG_create_chunk	codo_realloc
LodePNG_decode	LodePNG_InfoPng_cleanup
LodePNG_decode	LodePNG_convert
LodePNG_decode	__stack_chk_fail@plt
LodePNG_decode	codo_free
LodePNG_decode	codo_malloc
LodePNG_decode	decodeGeneric
LodePNG_decode32	LodePNG_decode
LodePNG_decode32_codo_file	LodePNG_decode
LodePNG_decode32_codo_file	codo_free
LodePNG_decode32_codo_file	codo_malloc
LodePNG_decode32_codo_file	fread@plt
LodePNG_decode32_codo_file	fseek@plt
LodePNG_decode32_codo_file	ftell@plt
LodePNG_decode32_codo_file	rewind@plt
LodePNG_decode32_file	LodePNG_decode
LodePNG_decode32_file	codo_free
LodePNG_decode32_file	codo_malloc
LodePNG_decode32_file	fclose@plt
LodePNG_decode32_file	fopen@plt
LodePNG_decode32_file	fread@plt
LodePNG_decode32_file	fseek@plt
LodePNG_decode32_file	ftell@plt
LodePNG_decode32_file	rewind@plt
LodePNG_decode_codo_file	LodePNG_decode
LodePNG_decode_codo_file	codo_free
LodePNG_decode_codo_file	codo_malloc
LodePNG_decode_codo_file	fread@plt
LodePNG_decode_codo_file	fseek@plt
LodePNG_decode_codo_file	ftell@plt
LodePNG_decode_codo_file	rewind@plt
LodePNG_decode_file	LodePNG_decode
LodePNG_decode_file	codo_free
LodePNG_decode_file	codo_malloc
LodePNG_decode_file	fclose@plt
LodePNG_decode_file	fopen@plt
LodePNG_decode_file	fread@plt
LodePNG_decode_file	fseek@plt
LodePNG_decode_file	ftell@plt
LodePNG_decode_file	rewind@plt
LodePNG_encode	LodePNG_Encoder_encode
LodePNG_encode	__stack_chk_fail@plt
LodePNG_encode	codo_free
LodePNG_encode32	LodePNG_encode
LodePNG_encode32_file	LodePNG_encode
LodePNG_encode32_file	__stack_chk_fail@plt
LodePNG_encode32_file	codo_free
LodePNG_encode32_file	fclose@plt
LodePNG_encode32_file	fopen@plt
LodePNG_encode32_file	fwrite@plt
LodePNG_encode_file	LodePNG_encode
LodePNG_encode_file	__stack_chk_fail@plt
LodePNG_encode_file	codo_free
LodePNG_encode_file	fclose@plt
LodePNG_encode_file	fopen@plt
LodePNG_encode_file	fwrite@plt
LodePNG_loadFile	codo_malloc
