address	size	type	bind	section	name
0x539720	103	STT_FUNC	STB_LOCAL	13	SDL_UpdateYUVTexture_DEFAULT
0x539790	55	STT_FUNC	STB_LOCAL	13	SDL_UpdateTexture_DEFAULT
0x5397d0	35	STT_FUNC	STB_LOCAL	13	SDL_GetTextureBlendMode_DEFAULT
0x539800	33	STT_FUNC	STB_LOCAL	13	SDL_SetTextureBlendMode_DEFAULT
0x539830	35	STT_FUNC	STB_LOCAL	13	SDL_GetTextureAlphaMod_DEFAULT
0x539860	34	STT_FUNC	STB_LOCAL	13	SDL_SetTextureAlphaMod_DEFAULT
0x539890	55	STT_FUNC	STB_LOCAL	13	SDL_GetTextureColorMod_DEFAULT
0x5398d0	55	STT_FUNC	STB_LOCAL	13	SDL_SetTextureColorMod_DEFAULT
0x539910	65	STT_FUNC	STB_LOCAL	13	SDL_QueryTexture_DEFAULT
0x539960	35	STT_FUNC	STB_LOCAL	13	SDL_CreateTextureFromSurface_DEFAULT
0x539990	63	STT_FUNC	STB_LOCAL	13	SDL_CreateTexture_DEFAULT
0x5399d0	37	STT_FUNC	STB_LOCAL	13	SDL_GetRendererOutputSize_DEFAULT
0x539a00	35	STT_FUNC	STB_LOCAL	13	SDL_GetRendererInfo_DEFAULT
0x539a30	19	STT_FUNC	STB_LOCAL	13	SDL_GetRenderer_DEFAULT
0x539a50	19	STT_FUNC	STB_LOCAL	13	SDL_CreateSoftwareRenderer_DEFAULT
0x539a70	35	STT_FUNC	STB_LOCAL	13	SDL_CreateRenderer_DEFAULT
0x539aa0	61	STT_FUNC	STB_LOCAL	13	SDL_CreateWindowAndRenderer_DEFAULT
0x539ae0	33	STT_FUNC	STB_LOCAL	13	SDL_GetRenderDriverInfo_DEFAULT
0x539b10	19	STT_FUNC	STB_LOCAL	13	SDL_GetNumRenderDrivers_DEFAULT
0x539b30	65	STT_FUNC	STB_LOCAL	13	SDL_IntersectRectAndLine_DEFAULT
0x539b80	53	STT_FUNC	STB_LOCAL	13	SDL_EnclosePoints_DEFAULT
0x539bc0	37	STT_FUNC	STB_LOCAL	13	SDL_UnionRect_DEFAULT
0x539bf0	37	STT_FUNC	STB_LOCAL	13	SDL_IntersectRect_DEFAULT
0x539c20	35	STT_FUNC	STB_LOCAL	13	SDL_HasIntersection_DEFAULT
0x539c50	35	STT_FUNC	STB_LOCAL	13	SDL_GetPowerInfo_DEFAULT
0x539c80	19	STT_FUNC	STB_LOCAL	13	SDL_GetPlatform_DEFAULT
0x539ca0	39	STT_FUNC	STB_LOCAL	13	SDL_CalculateGammaRamp_DEFAULT
0x539cd0	71	STT_FUNC	STB_LOCAL	13	SDL_GetRGBA_DEFAULT
0x539d20	63	STT_FUNC	STB_LOCAL	13	SDL_GetRGB_DEFAULT
0x539d60	58	STT_FUNC	STB_LOCAL	13	SDL_MapRGBA_DEFAULT
0x539da0	55	STT_FUNC	STB_LOCAL	13	SDL_MapRGB_DEFAULT
0x539de0	19	STT_FUNC	STB_LOCAL	13	SDL_FreePalette_DEFAULT
0x539e00	55	STT_FUNC	STB_LOCAL	13	SDL_SetPaletteColors_DEFAULT
0x539e40	35	STT_FUNC	STB_LOCAL	13	SDL_SetPixelFormatPalette_DEFAULT
0x539e70	17	STT_FUNC	STB_LOCAL	13	SDL_AllocPalette_DEFAULT
0x539e90	19	STT_FUNC	STB_LOCAL	13	SDL_FreeFormat_DEFAULT
0x539eb0	17	STT_FUNC	STB_LOCAL	13	SDL_AllocFormat_DEFAULT
0x539ed0	61	STT_FUNC	STB_LOCAL	13	SDL_MasksToPixelFormatEnum_DEFAULT
0x539f10	71	STT_FUNC	STB_LOCAL	13	SDL_PixelFormatEnumToMasks_DEFAULT
0x539f60	17	STT_FUNC	STB_LOCAL	13	SDL_GetPixelFormatName_DEFAULT
0x539f80	37	STT_FUNC	STB_LOCAL	13	SDL_CondWaitTimeout_DEFAULT
0x539fb0	35	STT_FUNC	STB_LOCAL	13	SDL_CondWait_DEFAULT
0x539fe0	19	STT_FUNC	STB_LOCAL	13	SDL_CondBroadcast_DEFAULT
0x53a000	19	STT_FUNC	STB_LOCAL	13	SDL_CondSignal_DEFAULT
0x53a020	19	STT_FUNC	STB_LOCAL	13	SDL_SemValue_DEFAULT
0x53a040	19	STT_FUNC	STB_LOCAL	13	SDL_SemPost_DEFAULT
0x53a060	33	STT_FUNC	STB_LOCAL	13	SDL_SemWaitTimeout_DEFAULT
0x53a090	19	STT_FUNC	STB_LOCAL	13	SDL_SemTryWait_DEFAULT
0x53a0b0	19	STT_FUNC	STB_LOCAL	13	SDL_SemWait_DEFAULT
0x53a0d0	19	STT_FUNC	STB_LOCAL	13	SDL_DestroySemaphore_DEFAULT
0x53a0f0	17	STT_FUNC	STB_LOCAL	13	SDL_CreateSemaphore_DEFAULT
0x53a110	19	STT_FUNC	STB_LOCAL	13	SDL_DestroyMutex_DEFAULT
0x53a130	19	STT_FUNC	STB_LOCAL	13	SDL_UnlockMutex_DEFAULT
0x53a150	19	STT_FUNC	STB_LOCAL	13	SDL_TryLockMutex_DEFAULT
0x53a170	19	STT_FUNC	STB_LOCAL	13	SDL_LockMutex_DEFAULT
0x53a190	19	STT_FUNC	STB_LOCAL	13	SDL_CreateMutex_DEFAULT
0x53a1b0	17	STT_FUNC	STB_LOCAL	13	SDL_ShowCursor_DEFAULT
0x53a1d0	19	STT_FUNC	STB_LOCAL	13	SDL_FreeCursor_DEFAULT
0x53a1f0	19	STT_FUNC	STB_LOCAL	13	SDL_GetDefaultCursor_DEFAULT
0x53a210	19	STT_FUNC	STB_LOCAL	13	SDL_GetCursor_DEFAULT
0x53a230	19	STT_FUNC	STB_LOCAL	13	SDL_SetCursor_DEFAULT
0x53a250	17	STT_FUNC	STB_LOCAL	13	SDL_CreateSystemCursor_DEFAULT
0x53a270	35	STT_FUNC	STB_LOCAL	13	SDL_CreateColorCursor_DEFAULT
0x53a2a0	75	STT_FUNC	STB_LOCAL	13	SDL_CreateCursor_DEFAULT
0x53a2f0	17	STT_FUNC	STB_LOCAL	13	SDL_SetRelativeMouseMode_DEFAULT
0x53a310	35	STT_FUNC	STB_LOCAL	13	SDL_WarpMouseInWindow_DEFAULT
0x53a340	35	STT_FUNC	STB_LOCAL	13	SDL_GetRelativeMouseState_DEFAULT
0x53a370	35	STT_FUNC	STB_LOCAL	13	SDL_GetMouseState_DEFAULT
0x53a3a0	19	STT_FUNC	STB_LOCAL	13	SDL_GetMouseFocus_DEFAULT
0x53a3c0	53	STT_FUNC	STB_LOCAL	13	SDL_ShowSimpleMessageBox_DEFAULT
0x53a400	35	STT_FUNC	STB_LOCAL	13	SDL_ShowMessageBox_DEFAULT
0x53a430	35	STT_FUNC	STB_LOCAL	13	SDL_LogSetOutputFunction_DEFAULT
0x53a460	35	STT_FUNC	STB_LOCAL	13	SDL_LogGetOutputFunction_DEFAULT
0x53a490	51	STT_FUNC	STB_LOCAL	13	SDL_LogMessageV_DEFAULT
0x53a4d0	17	STT_FUNC	STB_LOCAL	13	SDL_LogGetPriority_DEFAULT
0x53a4f0	31	STT_FUNC	STB_LOCAL	13	SDL_LogSetPriority_DEFAULT
0x53a510	17	STT_FUNC	STB_LOCAL	13	SDL_LogSetAllPriority_DEFAULT
0x53a530	35	STT_FUNC	STB_LOCAL	13	SDL_LoadFunction_DEFAULT
0x53a560	19	STT_FUNC	STB_LOCAL	13	SDL_LoadObject_DEFAULT
0x53a580	19	STT_FUNC	STB_LOCAL	13	SDL_IsScreenKeyboardShown_DEFAULT
0x53a5a0	19	STT_FUNC	STB_LOCAL	13	SDL_HasScreenKeyboardSupport_DEFAULT
0x53a5c0	19	STT_FUNC	STB_LOCAL	13	SDL_SetTextInputRect_DEFAULT
0x53a5e0	19	STT_FUNC	STB_LOCAL	13	SDL_IsTextInputActive_DEFAULT
0x53a600	19	STT_FUNC	STB_LOCAL	13	SDL_GetKeyFromName_DEFAULT
0x53a620	17	STT_FUNC	STB_LOCAL	13	SDL_GetKeyName_DEFAULT
0x53a640	19	STT_FUNC	STB_LOCAL	13	SDL_GetScancodeFromName_DEFAULT
0x53a660	17	STT_FUNC	STB_LOCAL	13	SDL_GetScancodeName_DEFAULT
0x53a680	17	STT_FUNC	STB_LOCAL	13	SDL_GetScancodeFromKey_DEFAULT
0x53a6a0	17	STT_FUNC	STB_LOCAL	13	SDL_GetKeyFromScancode_DEFAULT
0x53a6c0	17	STT_FUNC	STB_LOCAL	13	SDL_SetModState_DEFAULT
0x53a6e0	19	STT_FUNC	STB_LOCAL	13	SDL_GetModState_DEFAULT
0x53a700	19	STT_FUNC	STB_LOCAL	13	SDL_GetKeyboardState_DEFAULT
0x53a720	33	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetButton_DEFAULT
0x53a750	53	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetBall_DEFAULT
0x53a790	33	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetHat_DEFAULT
0x53a7c0	33	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetAxis_DEFAULT
0x53a7f0	17	STT_FUNC	STB_LOCAL	13	SDL_JoystickEventState_DEFAULT
0x53a810	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickNumButtons_DEFAULT
0x53a830	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickNumHats_DEFAULT
0x53a850	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickNumBalls_DEFAULT
0x53a870	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickNumAxes_DEFAULT
0x53a890	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickInstanceID_DEFAULT
0x53a8b0	19	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetAttached_DEFAULT
0x53a8d0	64	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetGUIDFromString_DEFAULT
0x53a910	55	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetGUIDString_DEFAULT
0x53a950	64	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetGUID_DEFAULT
0x53a990	62	STT_FUNC	STB_LOCAL	13	SDL_JoystickGetDeviceGUID_DEFAULT
